Title,Author,Quantity,Price,Location,Isbn,EditionYear,Publisher,Edition,Cover,Subject,Pages,Language,Display
Within Reach,"Mark Pfetzer,Jack Galvin",1,495,RR7,9.78014E+12,1/1/2000,Puffin,General,Soft Cover,Juvenile Nonfiction,224,English,General
My Quest for the Yeti,Reinhold Messner,1,640,RR7,9.78033E+12,2000,Pan Macmillan Adult MM,General,Soft Cover,Himalaya Mountains,169,English,General
Annapurna,"Maurice Herzog,Conrad Anker",1,495,RR7,9.7816E+12,2010-05,Lyons Press,General,Soft Cover,Sports & Recreation,240,English,General
JUST FOR THE LOVE OF IT BOOK.,CATHY. O'DOWD,1,495,RR7,9.78939E+12,2018,Embassy Books,General,Hard Cover,Mountaineering,,English,General
The Himalayan Journal Vol 44,Harish Kapadia,1,1250,RR7,195620488,1988,Oxford University Press,General,Hard Cover,Mountaineering,,English,General
How To Rock Climb,John Long,1,950,RR7,093464120x,1989,Chockstone Press,General,Soft Cover,Mountaineering,,English,General
On Top Of The World,Rebecca Stephens,1,1495,RR7,9.78033E+12,1994,books catalog,General,Hard Cover,Mountaineers,196,English,General
Where Men Win Glory,Jon Krakauer,1,2470,RR7,9.78185E+12,2009,,General,Hard Cover,"Afghan War, 2001-",383,English,General
Encyclopaedia of Mountaineering,Walt Unsworth,1,950,RR7,9.78034E+12,1/1/1992,Trafalgar Square Publishing,General,Hard Cover,Mountaineering,383,English,General
Everest Kangshung Face,Stephen Venables,1,3500,RR7,9.78034E+12,1954,Arnold Publishers,General,Hard Cover,Mountaineering,,English,General
Under The Banner Of Heaven A Story Of Violent Faith,Jon Krakauer,1,3495,RR7,9.78141E+12,1984,"Macmilliam And CO., Limited",General,Hard Cover,Mountaineering,,English,General
Annapurna Circuit,Andrew Stevenson,1,1995,RR7,9.78009E+12,1997,Constable Limited,General,Hard Cover,Annapurna (Nepal),224,English,General
"Into The Silence The Great War, Mallory and the Conquest Of Everest",Wade Davis,1,1195,RR7,,2011,The Bodley Head,General,Soft Cover,Mountaineering,,English,General
Snowboard To Nirvana A Spiritual Adventure,Frederick Lenz,1,495,RR7,,1988,Hodder & Stoughton Limited,General,Hard Cover,Mountaineering,,English,General
Penguins On Everest,David Durkan,3,750,RR7,,2014,Swami Kailash Publications,General,Soft Cover,Mountaineering,,English,General
Eiger Dreams,Jon Krakauer,1,495,RR7,9.78033E+12,1998,Pan Macmillan,General,Soft Cover,Mountaineering,186,English,General
Keeper of the Mountains,Bernadette McDonald,1,795,RR7,9.78193E+12,10/1/2012,Rocky Mountain Books Ltd,General,Soft Cover,Biography & Autobiography,256,English,General
The Epic of Mount Everest,"Francis Younghusband,Sir Francis Edward Younghusband",1,695,RR7,9.78033E+12,2000,Pan Macmillan Adult MM,General,Soft Cover,Sports & Recreation,254,English,General
Climb To The Lost World,Hamish MacInnes,1,5995,RR7,,1974,Hodder And Stoughton,General,Hard Cover,Mountaineering,,English,General
High In The Thin Cold Air,Edmund Hillary,1,10000,RR7,,1963,Hodder And Stoughton,General,Hard Cover,Mountaineering,,English,General
The Boy's Book Of Exploration,Sir Edmund Hillary,1,9995,RR7,,1957,Cassell & Company LTD,General,Hard Cover,Mountaineering,,English,General
Kanchenjunga,John Tucker,1,9995,RR7,,1955,Abelard-Schuman Limited,General,Hard Cover,Mountaineering,,English,General
Higher Than Everest Memoirs Of A Mountaineer,H. P. S. Ahluwalia,1,1495,RR7,706902688,1973,Vikash Publishing House,General,Hard Cover,Mountaineering,,English,General
Conoeing Down Everest,Mike Jones,1,1950,RR7,706909860,1979,Vikash Publishing House,General,Hard Cover,Mountaineering,,English,General
Ebenezer Teichelmann,Bob McKerrow,1,1560,RR7,8187943874,2005,India Research Press,General,Hard Cover,Biography & Autobiography,270,English,General
Exploring The Himalaya,William O. Douglas,1,9500,RR7,,1958,Random House Limited,General,Hard Cover,Mountaineering,,English,General
Kingdom Of Adventure Everest a Chronicle Of Man's Assault On THe Earth's Highest Mountain,James Ramsey Ullman,1,10000,RR7,,1948,Collins London & Glasgow,General,Hard Cover,Mountaineering,,English,General
The Climber's Guide To The Coastal Ranges Of British Colambia,Dick Gulbart,1,1250,RR7,,1969,The Alpine Club Of Canada,General,Hard Cover,Mountaineering,,English,General
Everest The Challenge,Sir Francis Younghusband,1,4995,RR7,,1945,Thomas Nelson & Sons,General,Hard Cover,Mountaineering,,English,General
High Adventure,Edmund Hillary,1,3995,RR7,,1995,The Companion Book CLub,General,Hard Cover,Mountaineering,,English,General
The White Fury Gaurisankar & Cho Oyu,Showell Styles,1,50000,RR7,,1956,Hurst & Blackett,General,Hard Cover,Mountaineering,,English,General
The Annapurna,Maurice Herzog,1,9995,RR7,,1953,Jonathan Cape,General,Hard Cover,Mountaineering,,English,General
Kongur China's Elusive Summit Chris Bonington,Chris bonington,1,6995,RR7,340265140,1982,Hodder And Stoughton,General,Hard Cover,Mountaineering,,English,General
The Kangchenjunga Adventure,F. S. Smythe,1,20000,RR7,,1932,Victor Gollancz LTD,General,Hard Cover,Mountaineering,,English,General
The Himalayan Journal Vol 39,Harish Kapadia,1,1150,RR7,,1983,Oxford University Press,General,Hard Cover,Mountaineering,,English,General
Everest The Hardway,Chris bonington,1,4995,RR7,,1976,Vikash Publishing House,General,Hard Cover,Mountaineering,,English,General
The Himalayan Journal Vol 42,Harish Kapadia,1,1250,RR7,,1986,Oxford University Press,General,Hard Cover,Mountaineering,,English,General
Mountaineering In The Alps An Historical Survey,Claire Eliane Engel,1,5500,RR7,004796037x,1971,George Allen & Unwin LTD,General,Soft Cover,Mountaineering,,English,General
Everest Expedition To The Ultimate,Reinhold Messner,1,9900,RR7,718212185,1979,Oxford University Press,General,Hard Cover,Mountaineering,,English,General
Kanchenjunga Challenge,Paul Bauer,1,15000,RR7,,1955,William Kimber,General,Hard Cover,Mountaineering,,English,General
South Col One Man's Adventure On The Ascent Of Everest,Wilfrid Noyce,1,9995,RR7,,1953,William Heinemann LTD,General,Hard Cover,Mountaineering,,English,General
Into Thin Air,Jon Krakauer,1,2500,RR7,679457526,1997,Villard Books,General,Hard Cover,Biography & Autobiography,293,English,General
To The South Pole The Story Of Antarctic Exploration,Webster Smith,1,9995,RR7,,1915,Blackie And Sons Limited,General,Hard Cover,Mountaineering,,English,General
Great True Adventures,Lowell Thomas,1,2995,RR7,,1955,Arco Publishers Limited,General,Hard Cover,Mountaineering,,English,General
The Plague,Albert Camus,1,3995,RR8,,1950,Hamish Hamilton,General,Hard Cover,RARE BOOKS,,English,General
The Friend Of The Family,Constance Garnett,1,1695,RR8,,1949,Heinemann Limited,General,Hard Cover,RARE BOOKS,,English,General
"Where Three Empires Meet A Narrative Of Recent Travel In Kashmir, Western Tibet, Gilgit And The Adjoining Countries",E. F. Knight,1,2495,RR8,,1935,"Longmans, Green And Co.",General,Hard Cover,RARE BOOKS,,English,General
A Winter's Tale,William Shakespeare,1,3500,RR8,,1901,The University Society,General,Hard Cover,RARE BOOKS,,English,General
The Partial View,W. Somerset Maugham,1,19995,RR8,,1954,William Heinemann LTD,General,Hard Cover,RARE BOOKS,,English,General
Nirvana,George S. Arundale,1,4500,RR8,,1926,Theosophical Publishing House,General,Hard Cover,RARE BOOKS,,English,General
The Literature Of Crime,Ellery Queen,1,9995,Rr8,,1952,Cassell And Company Limited,General,Hard Cover,RARE BOOKS,,English,General
Studies In A Dying Culture,Christopher Caudwell,1,1995,RR8,,1947,John Lane The Bodley Head,General,Hard Cover,RARE BOOKS,,English,General
The American Presidency An Interpretation,Harold J. Laski,1,3995,RR8,,1952,George Allen & Unwin LTD,General,Hard Cover,RARE BOOKS,,English,General
The Razor's Edge A Novel,W. Somerset Maugham,1,195,RR8,,1943,Triangle Books,General,Hard Cover,RARE BOOKS,,English,General
A London Story,George Buchanan,1,2499,RR8,,1935,Constable & Co LTD,General,Hard Cover,RARE BOOKS,,English,General
The Voice Of Mystic India My Psychic Experiences,Alice Elizabeth Dracott,1,3500,RR8,,1930,The May Flower Press,General,Hard Cover,RARE BOOKS,,English,General
"The Master As I Saw Him Being Pages From The Life Of The Swami VivekAnanda By His Disciple Nivedita, Of Ramakrishna-Vivekananda",Swami atmabodhananda,1,1995,RR8,,1948,Udbodhan Office,General,Hard Cover,RARE BOOKS,,English,General
Religion And The Modern Mind,W. T. Stace,1,9955,RR8,,1952,J. B. Lippincott Company,General,Hard Cover,RARE BOOKS,,English,General
Little MenLife At Plumfield With Jo's Boys,Louisa May Alcott,1,1350,RR8,,1871,Nelson Doubleday INc,General,Hard Cover,RARE BOOKS,,English,General
The Book Of The Thousand Nights And One Night Vol 51,E. Powys Mathers,1,1600,RR8,,1929,The Casanova Society,General,Hard Cover,RARE BOOKS,,English,General
The Book Of The Thousand Nights And One Night Vol 8,E. Powys Mathers,1,1600,RR8,,1929,The Casanova Society,General,Hard Cover,RARE BOOKS,,English,General
The Book Of The Thousand Nights And One Night Vol 1,E. Powys Mathers,1,1600,RR8,,1929,The Casanova Society,General,Hard Cover,RARE BOOKS,,English,General
The Book Of Thousand Nights And One Night Vol 2,E. Powys Mathers,1,1600,RR8,,1929,The Casanova Society,General,Hard Cover,RARE BOOKS,,English,General
The Book Of The Thousand Nights And One Night Vol 4,E. Powys Mathers,1,1600,RR8,,1929,The Casanova Society,General,Hard Cover,RARE BOOKS,,English,General
Witchcraft And The Black Magic,Montague Summers,1,3995,RR8,,1958,Rider & Company Limited,General,Hard Cover,RARE BOOKS,,English,General
The Book Of The Thousand Nights And One Night Vol 7,E. Powys Mathers,1,1600,RR8,,1929,The Casanova Society,General,Hard Cover,RARE BOOKS,,English,General
Magic Seeds A Novel,V. S. Naipaul,1,9500,RR8,330485229,2004,Picador,General,Hard Cover,RARE BOOKS,,English,General
The Fascist Movement In Italian Life,M. D. Petre,1,2495,RR8,,1923,"T. Fisher Unwin LTD.,",General,Hard Cover,RARE BOOKS,,English,General
Spiritual Today,Maurice Barbanell,1,2995,RR8,257650245,1969,Herbert Jenkins Limited,General,Hard Cover,RARE BOOKS,,English,General
Balthazar A Novel,Lawrence Durrell,1,9995,RR8,,1958,Faber & Faber Company LTD.,General,Hard Cover,RARE BOOKS,,English,General
The Public Arts,Gilbert Seldes,1,2500,RR8,,1956,Simon & Schuster,General,Hard Cover,RARE BOOKS,,English,General
Lady Curzon's India,Lady Mary Curzon,1,995,RR8,825303982,1986-01,Olympic Marketing Corporation,General,Hard Cover,History,180,English,General
Memoirs Of A Dutiful Daughter,Simone De Beauvoir,1,1500,RR8,,1963,Andre Deutch,General,Hard Cover,RARE BOOKS,,English,General
Queen Victoria,Lytton Strachey,1,2995,RR8,,1922,Chatto & Windus,General,Hard Cover,RARE BOOKS,,English,General
The Basic Writings Of Sigmund Freud,Dr. A. A. Brill,1,9995,RR8,,1938,The Modern Library Limited,General,Hard Cover,RARE BOOKS,,English,General
1Q84,Haruki Murakami,1,15995,RR8,9.78185E+12,2011,Random House,General,Hard Cover,Japan,925,English,General
"Blind Willow, Sleeping Woman",Haruki Murakami,1,4695,RR8,1400044618,2006,Alfred a Knopf Incorporated,General,Hard Cover,Fiction,333,English,General
Living to Tell the Tale,Gabriel Garcia Marquez,1,1995,RR8,1400041341,2003,Knopf,General,Hard Cover,Biography & Autobiography,483,English,General
Underground,Haruki Murakami,1,3475,RR8,1860467571,2000,Harvill Secker,General,Hard Cover,Cults,309,English,General
The Book of the Courtesans,Susan Griffin,1,1995,RR8,333900545,2002,"Macmilliam And CO., Limited",General,Hard Cover,Courtesans,269,English,General
Nursing For The Future,Esther Lucile Brown,1,525,RR8,,1948,Russell Sage Foundation,General,Hard Cover,RARE BOOKS,,English,General
A Fine Balance,Rohinton Mistry,1,4795,RR8,,1995,"Rupa Co.,",General,Hard Cover,RARE BOOKS,,English,General
House Of 10000 Pleasures  Modern study Of The Geisha And Of The Street Of Japan,Sara Harris,1,4000,RR8,,1962,W. H. Allen,General,Hard Cover,RARE BOOKS,,English,General
THe Enigma Of Arrival,V. S. Naipaul,1,4995,RR8,394509714,1987,Alfred A. Knopf,General,Hard Cover,RARE BOOKS,,English,General
Fury A Novel,Salman Rushdie,1,1995,RR8,224061593,2001,Jonathan Cape,General,Hard Cover,RARE BOOKS,,English,General
Beyond Belief,Vidiadhar Surajprasad Naipaul,1,2595,RR8,375501185,1998,Ottawa,General,Hard Cover,Religion,408,English,General
The Book Of Thousand Nights And One Night Vol 1 2 & 3,Powys Mathers,1,9995,RR8,,1953,Routledge & Kegan Paul Books,General,Hard Cover,RARE BOOKS,,English,General
Thirukkural With English Translation,T. S. Ramalingam Pillai,1,1995,RR8,,1987,Saiva Siddhanta Works Publishing,General,Hard Cover,RARE BOOKS,,English,General
The Thron Birds,Colleen McCullough,1,5000,RR8,,1977,Harper & Row publishers,General,Hard Cover,RARE BOOKS,,English,General
The fifth child,Doris May Lessing,1,2395,RR8,394571053,3/1/1988,Alfred A. Knopf,General,Hard Cover,Fiction,133,English,General
Human Knowledge Its Scope And Limits,Bertrand Russell,1,3995,RR8,,1956,George Allen & Unwin LTD,General,Hard Cover,RARE BOOKS,,English,General
An advanced History Of India,R. C. Majumdar,1,1995,RR8,,1963,"Macmilliam And CO., Limited",General,Hard Cover,RARE BOOKS,,English,General
The AutoBiography Of Bertrand Russell,Bertrand Russell,1,3995,RR8,,1967,An Atlantic Monthly Press Book,General,Hard Cover,RARE BOOKS,,English,General
Gulliver's Travels,Jonathan Swift,1,3995,RR8,,1955,Oxford Unversity Press,General,Hard Cover,RARE BOOKS,,English,General
Nymphs Of The Valley,Kahlil Gibran,1,1495,RR8,,1969,Heinemann Limited,General,Hard Cover,RARE BOOKS,,English,General
The Voice Of The Masters,Kahlil Gibran,1,1495,RR8,,1969,Heinemann Limited,General,Hard Cover,RARE BOOKS,,English,General
The Forerunner His Parables And Poems,Kahlil Gibran,1,1295,RR8,,1974,Heinemann Limited,General,Hard Cover,RARE BOOKS,,English,General
The Garden Of he Prophet,Kahlil Gibran,1,1295,RR8,,1970,Heinemann Limited,General,Hard Cover,RARE BOOKS,,English,General
Thoughts And Meditations,Kahlil Gibran,1,1750,RR8,,1960,The Citadel Press,General,Hard Cover,RARE BOOKS,,English,General
The Wanderer His Parables And His Sayings,Kahlil Gibran,1,1995,RR8,,1972,Heinemann Limited,General,Hard Cover,RARE BOOKS,,English,General
The Secrets Of The Heart,Kahlil Gibran,1,3495,RR8,,1951,Jaico Publishing House,General,Hard Cover,RARE BOOKS,,English,General
Thoughts And Meditations,Kahlil Gibran,1,3500,RR8,,1960,Heinemann Limited,General,Hard Cover,RARE BOOKS,,English,General
Dramas of life,Kahlil Gibran,1,7995,RR8,664213871,1981,Westminster John Knox Press,General,Hard Cover,Drama,104,English,General
The Epic Of Latin America,John A. Crow,1,2995,RR8,,1946,Doubleday & Company,General,Hard Cover,RARE BOOKS,,English,General
The Mandala Og Sherlock Holmes The Adventure Of The Great Detective In Tibet,Jamyang Norbu,1,2000,Top 2,8172233698,1999,Harper Collins Limitd,General,Hard Cover,RARE BOOKS,,English,General
Forbidden Colours,Yukio Mishima,1,4495,Top 2,436281538,1968,Secker & Warburg,General,Hard Cover,RARE BOOKS,,English,General
The Sailor Who Fell From Grace,John Nathan,1,4995,Top 2,,1963,Secker & Warburg,General,Hard Cover,RARE BOOKS,,English,General
The Sex Lives of Siamese Twins,Gabriel Garcia Marquez,1,795,Top 2,224077643,2005,Random House,General,Hard Cover,Fiction,115,English,General
The Autumn Of The Patriarch,Gabriel Garcia Marquez,1,2475,Top 2,,1975,Jonathan Cape,General,Hard Cover,RARE BOOKS,,English,General
The General In His Labyrinth,Gabriel Garcia Marquez,1,2475,Top 2,224030833,1988,Jonathan Cape,General,Hard Cover,RARE BOOKS,,English,General
India a Wounded Civilization,V. S. Naipaul,1,3500,Top 2,39440291x,1978,Alfred A. Knopf Limited,General,Hard Cover,RARE BOOKS,,English,General
The Second Sex,Simone De Beauvoir,1,4995,Top 2,,1952,A Modern Library Limited,General,Hard Cover,RARE BOOKS,,English,General
The Everest Hotel,Allan Sealy,1,699,Top 2,818693901,1998,India Ink Publications,General,Hard Cover,RARE BOOKS,,English,General
Reason & Violence A Decade Sartre's Philosophy 1950-1960,R. D. Laing,1,5495,Top 2,,1964,Tavistock Publications,General,Hard Cover,RARE BOOKS,,English,General
The Deserter,Giuseppe Dessi,1,2300,Top 2,,1962,Harvoll Press,General,Hard Cover,RARE BOOKS,,English,General
The Liberation Of Paris,Willis Thornton,1,295,Top 2,,1963,Rupert Hart-Davis,General,Hard Cover,RARE BOOKS,,English,General
By The River iedra Sat Down and Wept,Paulo Coelho,1,5000,Top 2,,1996,Harper & Row Publishers,General,Hard Cover,RARE BOOKS,,English,General
Blood Relatives An 87th Pecint Mystery By Ed McBain,Ed McBain,1,725,Top 2,,1975,Random House Limited,General,Hard Cover,RARE BOOKS,,English,General
Ramakrishna And His Disciples,Christopher Isher Wood,1,2995,Top 2,,1974,Advaita Ashrama,General,Hard Cover,RARE BOOKS,,English,General
Carpathian Castle,Jules Verne,1,4495,Top 2,,1963,Arco Publications,General,Hard Cover,RARE BOOKS,,English,General
Murder-go-round,Agatha Christie,1,2000,Top 2,396065546,1972,Dodd Mead,General,Hard Cover,Fiction,638,English,General
Bill Gates business @ the speed of thought,Bob Gates,1,2995,Top 2,140283110,1999,Penguin Books,General,Hard Cover,RARE BOOKS,,English,General
Frankenstein Or The Modern Prometheus,Mary Wollstonecraft Shelley,1,1000,Top 2,1853268461,1994,Words Worth Classics,General,Hard Cover,"Frankenstein, Victor (Fictitious character)",163,English,General
The Future Of Humanity,j. Krishnamurti,1,2995,Top 2,60647973,1895,Harper & Row publishers,General,Hard Cover,RARE BOOKS,,English,General
Dubliners,James Joyce,1,2995,Top 2,,1967,Jonathan Cape,General,Hard Cover,RARE BOOKS,,English,General
The Empty Canvas,Alberto Moravia,1,3495,Top 2,,1961,Secker & Warburg,General,Hard Cover,RARE BOOKS,,English,General
The story Of Philosophy TheLives And Opinions Of The Greater Philosophers,Will Durant,1,1995,Top 2,,1961,Simon & Schuster,General,Hard Cover,RARE BOOKS,,English,General
Poetical Works Of Sir Walter Scott,The Chandos Poets,1,15000,Top 2,,1894,Fedrrick Warne & Co.,General,Hard Cover,RARE BOOKS,,English,General
