Title,Author,Quantity,Price,Location,Isbn,EditionYear,Publisher,Edition,Cover,Subject,Pages,Language,Display
A Mountain In Tibet,Charles Alle,1,795,RR7,,1992,"Rupa Co.,",General,Soft Cover,Mountaineering,,English,General
Southern Ontario Ice A Climber's Guide,Norbert Kartner,1,450,RR7,969928300,1995,Borealis Press,General,Soft Cover,Mountaineering,,English,General
The Arrow Book Of Climbing,Showell Styles,1,295,RR7,,1967,Arrow Books,General,Soft Cover,Mountaineering,,English,General
Toujours Provence,Peter Mayle,1,350,RR7,679736042,1992,Vintage Limited,General,Soft Cover,Mountaineering,,English,General
The Mountain World,Marcel Kurz,1,4995,RR7,,1953,Swiss Foundation For Alpine Research,General,Hard Cover,Mountaineering,,English,General
The Himalan Journal Vol 48,Harish Kapadia,1,1250,RR7,195628233,1992,Oxford University Press,General,Soft Cover,Mountaineering,,English,General
The Climb Tragic Ambitions On Everest,Anatoli Boukreev,1,495,RR7,9.78033E+13,2002,Pan Books,General,Soft Cover,Mountaineering,,English,General
View From The Summit a Great Read From A Writer Of Remarkable Ability The Times,Sir Edmund Hillary,1,550,RR7,9.78055E+12,2003,Corgi,General,Soft Cover,Mountaineering,,English,General
The Snow Leopard,Peter Matthiessen,1,395,RR7,553206516,1981,Bantam,General,Soft Cover,Biography & Autobiography,350,English,General
The Boys of Everest,Clint Willis,1,995,RR7,9.78079E+12,10/26/2007,Da Capo Press,General,Soft Cover,Biography & Autobiography,560,English,General
Living on the edge,Cherie Bremer-Kamp,1,2995,RR7,9.78072E+12,12/31/1987,David & Charles,General,Hard Cover,Sports & Recreation,213,English,General
Into Thin Air,Jon Krakauer,1,495,RR7,9.78039E+12,1999,Anchor Books,General,Soft Cover,Biography & Autobiography,332,English,General
Tigers of the Snow,Jonathan Neale,1,495,RR7,9.78032E+12,2002,L & B Limited,General,Hard Cover,Mountaineering,338,English,General
Nanda Devi,Hugh Thomson,1,640,RR7,9.78075E+12,2/1/2005,Phoenix House,General,Soft Cover,Travel,181,English,General
At Homes In The Himalayas,Christina Noble,1,595,RR7,9.78001E+12,1991,Fontana Publishers,General,Soft Cover,Mountaineering,,English,General
